Product SKU,Production Schedule_ID,Lead Time (days),Production Capacities (units per hour),Resource Allocation
47,1066,3,27,Resource C
34,1067,12,12,Resource B
52,1068,5,42,Resource C
4,1069,16,45,Resource C
4,1070,5,24,Resource C
96,1071,5,38,Resource A
88,1072,11,34,Resource C
8,1073,12,30,Resource C
23,1074,7,45,Resource B
51,1075,5,20,Resource A
57,1076,6,43,Resource B
37,1077,14,10,Resource B
47,1078,10,47,Resource A
66,1079,14,39,Resource B
21,1080,19,36,Resource B
50,1081,4,27,Resource A
26,1082,9,24,Resource A
59,1083,7,28,Resource B
49,1084,5,31,Resource B
30,1085,1,15,Resource C
42,1086,11,1,Resource C
65,1087,10,6,Resource B
61,1088,10,8,Resource C
52,1089,12,11,Resource A
11,1090,9,38,Resource C
59,1091,4,44,Resource C
24,1092,13,34,Resource A
29,1093,18,23,Resource C
9,1094,8,29,Resource A
16,1095,2,16,Resource A
4,1096,6,40,Resource C
34,1097,5,33,Resource C
14,1098,15,27,Resource C
20,1099,2,41,Resource C
26,1100,5,47,Resource C
20,1101,9,44,Resource C
74,1102,17,6,Resource B
71,1103,11,49,Resource A
20,1104,16,30,Resource A
21,1105,12,16,Resource A
92,1106,4,33,Resource B
20,1107,12,33,Resource B
85,1108,14,36,Resource C
36,1109,5,35,Resource B
93,1110,4,13,Resource B
38,1111,9,6,Resource B
22,1112,15,42,Resource C
44,1113,1,42,Resource A
13,1114,7,47,Resource C
24,1115,13,5,Resource A
7,1116,19,49,Resource A
76,1117,4,30,Resource B
25,1118,16,27,Resource C
97,1119,7,39,Resource B
9,1120,3,17,Resource B
47,1121,9,19,Resource C
7,1122,13,12,Resource A
75,1123,2,46,Resource A
81,1124,5,13,Resource C
17,1125,11,25,Resource C
7,1126,6,13,Resource B
68,1127,7,35,Resource C
79,1128,7,29,Resource C
7,1129,2,3,Resource B
76,1130,4,22,Resource C
75,1131,11,36,Resource A
54,1132,19,31,Resource C
3,1133,19,9,Resource A
29,1134,17,13,Resource A
24,1135,16,30,Resource C
83,1136,4,47,Resource C
54,1137,11,8,Resource C
64,1138,1,3,Resource A
1,1139,4,37,Resource C
99,1140,11,3,Resource B
87,1141,12,35,Resource C
4,1142,19,3,Resource C
6,1143,5,42,Resource A
46,1144,5,34,Resource B
97,1145,9,42,Resource C
77,1146,5,42,Resource B
89,1147,13,1,Resource C
62,1148,14,16,Resource B
75,1149,14,7,Resource A
1,1150,12,11,Resource B
45,1151,8,15,Resource C
65,1152,4,2,Resource C
77,1153,10,27,Resource A
77,1154,9,30,Resource C
8,1155,7,39,Resource C
31,1156,1,3,Resource B
42,1157,10,41,Resource B
72,1158,19,14,Resource B
69,1159,2,27,Resource C
26,1160,18,17,Resource A
71,1161,11,10,Resource B
73,1162,14,1,Resource C
93,1163,11,9,Resource C
60,1164,1,17,Resource A
92,1165,11,1,Resource B
8,1166,2,3,Resource A
58,1167,14,17,Resource A
10,1168,18,19,Resource A
44,1169,2,15,Resource C
2,1170,13,22,Resource C
5,1171,4,38,Resource A
56,1172,8,15,Resource B
86,1173,18,35,Resource A
48,1174,9,2,Resource C
21,1175,5,25,Resource A
5,1176,5,24,Resource B
30,1177,9,40,Resource A
3,1178,15,15,Resource B
80,1179,5,35,Resource C
57,1180,3,49,Resource A
44,1181,2,8,Resource A
2,1182,6,22,Resource C
48,1183,1,5,Resource B
23,1184,15,1,Resource C
73,1185,11,3,Resource B
13,1186,14,19,Resource A
29,1187,12,38,Resource A
37,1188,18,21,Resource B
6,1189,3,9,Resource B
76,1190,9,26,Resource C
88,1191,6,5,Resource B
61,1192,13,44,Resource C
20,1193,3,39,Resource A
25,1194,17,36,Resource A
19,1195,17,35,Resource A
70,1196,7,6,Resource A
72,1197,2,10,Resource C
7,1198,15,12,Resource B
44,1199,12,47,Resource A
10,1200,14,4,Resource B
64,1201,4,37,Resource B
86,1202,7,28,Resource A
77,1203,12,23,Resource C
32,1204,15,28,Resource B
4,1205,5,17,Resource B
38,1206,9,26,Resource C
36,1207,5,47,Resource C
12,1208,12,14,Resource C
13,1209,6,18,Resource A
8,1210,2,7,Resource B
12,1211,12,34,Resource B
82,1212,12,25,Resource A
16,1213,7,22,Resource A
16,1214,9,14,Resource A
97,1215,17,3,Resource A
58,1216,7,37,Resource C
26,1217,8,17,Resource C
22,1218,2,32,Resource C
64,1219,16,10,Resource C
57,1220,18,41,Resource A
97,1221,18,1,Resource B
93,1222,3,49,Resource A
18,1223,10,12,Resource A
81,1224,19,28,Resource A
93,1225,10,16,Resource C
6,1226,11,17,Resource A
61,1227,9,46,Resource C
34,1228,13,15,Resource B
3,1229,12,13,Resource B
76,1230,17,11,Resource C
3,1231,3,21,Resource B
56,1232,6,41,Resource A
3,1233,2,12,Resource A
36,1234,7,4,Resource A
20,1235,5,32,Resource A
15,1236,8,3,Resource C
98,1237,5,10,Resource A
19,1238,9,41,Resource A
51,1239,18,43,Resource C
14,1240,9,10,Resource C
72,1241,5,1,Resource C
99,1242,10,28,Resource B
81,1243,17,6,Resource A
80,1244,2,27,Resource C
63,1245,14,15,Resource C
52,1246,5,42,Resource B
26,1247,2,35,Resource B
12,1248,15,39,Resource B
31,1249,6,15,Resource C
89,1250,10,6,Resource C
81,1251,1,31,Resource B
64,1252,4,44,Resource A
14,1253,16,31,Resource B
57,1254,7,32,Resource A
60,1255,6,36,Resource B
52,1256,12,33,Resource A
5,1257,13,16,Resource A
73,1258,9,2,Resource A
81,1259,13,39,Resource A
51,1260,17,2,Resource A
20,1261,17,13,Resource C
33,1262,7,7,Resource A
24,1263,9,22,Resource B
82,1264,13,16,Resource C
71,1265,6,43,Resource B
48,1266,1,32,Resource C
86,1267,5,1,Resource A
43,1268,1,46,Resource A
6,1269,3,16,Resource B
37,1270,6,9,Resource A
5,1271,13,9,Resource B
41,1272,12,38,Resource A
75,1273,16,35,Resource C
8,1274,18,16,Resource C
53,1275,1,11,Resource C
14,1276,19,28,Resource B
68,1277,10,33,Resource B
31,1278,1,25,Resource B
60,1279,2,15,Resource B
96,1280,18,19,Resource B
66,1281,8,21,Resource B
14,1282,8,43,Resource C
44,1283,6,17,Resource A
48,1284,19,47,Resource C
36,1285,19,9,Resource A
4,1286,6,11,Resource B
45,1287,14,42,Resource A
5,1288,6,14,Resource A
55,1289,17,30,Resource B
97,1290,18,21,Resource A
90,1291,17,9,Resource C
4,1292,1,39,Resource C
61,1293,14,42,Resource B
98,1294,7,25,Resource A
78,1295,6,27,Resource B
27,1296,5,26,Resource C
30,1297,18,45,Resource A
7,1298,3,19,Resource C
58,1299,4,40,Resource C
32,1300,12,33,Resource C
60,1301,16,44,Resource A
86,1302,3,19,Resource A
7,1303,11,23,Resource B
68,1304,10,25,Resource B
66,1305,19,43,Resource B
79,1306,16,32,Resource A
58,1307,11,4,Resource B
22,1308,3,8,Resource C
52,1309,5,19,Resource B
80,1310,3,46,Resource B
51,1311,11,45,Resource A
72,1312,1,32,Resource B
41,1313,7,46,Resource C
43,1314,9,47,Resource C
12,1315,19,37,Resource B
92,1316,19,47,Resource C
30,1317,1,8,Resource A
26,1318,7,34,Resource C
66,1319,19,29,Resource B
18,1320,16,44,Resource C
82,1321,8,6,Resource C
62,1322,17,43,Resource B
53,1323,7,46,Resource B
39,1324,1,18,Resource C
99,1325,16,8,Resource A
14,1326,3,42,Resource A
23,1327,17,36,Resource C
18,1328,17,41,Resource C
83,1329,1,32,Resource B
44,1330,6,1,Resource B
24,1331,19,19,Resource C
90,1332,13,27,Resource A
69,1333,8,10,Resource B
34,1334,2,41,Resource B
43,1335,6,49,Resource B
8,1336,14,43,Resource B
25,1337,3,24,Resource B
35,1338,5,46,Resource C
7,1339,9,16,Resource B
87,1340,6,3,Resource B
39,1341,2,40,Resource B
38,1342,6,20,Resource A
64,1343,3,35,Resource A
40,1344,18,20,Resource A
66,1345,9,33,Resource B
77,1346,19,1,Resource A
52,1347,3,35,Resource B
24,1348,4,31,Resource B
86,1349,14,9,Resource A
44,1350,5,31,Resource A
38,1351,13,22,Resource A
26,1352,11,17,Resource A
43,1353,18,12,Resource C
46,1354,7,31,Resource B
45,1355,18,39,Resource C
9,1356,9,8,Resource A
9,1357,1,29,Resource A
26,1358,1,36,Resource B
96,1359,6,21,Resource A
36,1360,1,5,Resource C
65,1361,4,10,Resource C
33,1362,18,24,Resource C
51,1363,15,15,Resource A
73,1364,3,45,Resource C
21,1365,19,25,Resource B
49,1366,10,35,Resource A
93,1367,6,26,Resource C
74,1368,2,28,Resource C
65,1369,4,44,Resource B
16,1370,4,36,Resource C
95,1371,10,45,Resource A
65,1372,7,47,Resource B
6,1373,3,22,Resource C
60,1374,6,30,Resource B
41,1375,4,18,Resource A
11,1376,19,29,Resource A
28,1377,18,15,Resource A
90,1378,5,16,Resource A
73,1379,8,36,Resource B
83,1380,19,28,Resource A
62,1381,8,7,Resource A
93,1382,1,19,Resource C
65,1383,15,45,Resource B
10,1384,13,35,Resource B
77,1385,11,9,Resource A
86,1386,6,32,Resource A
24,1387,3,36,Resource A
44,1388,18,17,Resource C
21,1389,12,32,Resource A
88,1390,11,6,Resource B
96,1391,10,10,Resource C
36,1392,6,27,Resource A
94,1393,14,25,Resource B
11,1394,8,21,Resource C
21,1395,16,37,Resource C
66,1396,4,31,Resource B
1,1397,13,7,Resource A
79,1398,11,43,Resource B
43,1399,17,5,Resource C
21,1400,14,4,Resource A
48,1401,2,21,Resource A
39,1402,2,29,Resource B
18,1403,17,41,Resource A
22,1404,8,20,Resource A
75,1405,8,46,Resource B
67,1406,6,47,Resource A
51,1407,3,36,Resource C
51,1408,18,33,Resource B
77,1409,7,41,Resource A
34,1410,11,9,Resource A
4,1411,5,38,Resource B
75,1412,3,16,Resource B
61,1413,19,45,Resource A
25,1414,1,20,Resource B
85,1415,4,27,Resource B
30,1416,5,36,Resource C
9,1417,17,8,Resource B
31,1418,3,11,Resource B
54,1419,15,30,Resource B
88,1420,3,5,Resource B
65,1421,5,7,Resource A
70,1422,14,43,Resource B
46,1423,11,41,Resource B
86,1424,19,30,Resource B
42,1425,17,30,Resource A
55,1426,4,8,Resource A
24,1427,12,35,Resource B
39,1428,2,8,Resource B
45,1429,11,36,Resource A
58,1430,5,9,Resource B
88,1431,10,15,Resource B
34,1432,9,46,Resource C
26,1433,9,12,Resource A
85,1434,1,17,Resource B
21,1435,8,37,Resource A
63,1436,19,42,Resource A
24,1437,13,42,Resource B
69,1438,4,44,Resource B
17,1439,1,43,Resource A
53,1440,17,12,Resource B
19,1441,16,46,Resource B
24,1442,5,29,Resource C
33,1443,4,10,Resource A
72,1444,10,27,Resource B
38,1445,15,35,Resource C
64,1446,8,49,Resource A
80,1447,9,29,Resource A
4,1448,18,41,Resource A
10,1449,8,33,Resource B
61,1450,9,33,Resource B
36,1451,9,39,Resource B
48,1452,3,18,Resource B
76,1453,2,10,Resource C
94,1454,17,31,Resource A
31,1455,12,29,Resource A
67,1456,17,4,Resource B
26,1457,6,18,Resource C
72,1458,10,26,Resource B
10,1459,14,21,Resource B
53,1460,16,2,Resource A
8,1461,7,17,Resource C
84,1462,15,29,Resource A
99,1463,13,30,Resource A
79,1464,11,24,Resource A
98,1465,6,45,Resource A
91,1466,17,25,Resource A
13,1467,5,37,Resource C
86,1468,5,35,Resource A
59,1469,19,5,Resource B
12,1470,3,12,Resource C
55,1471,11,16,Resource B
25,1472,19,3,Resource A
10,1473,16,38,Resource C
57,1474,4,33,Resource A
7,1475,8,27,Resource C
93,1476,7,32,Resource C
28,1477,17,43,Resource B
13,1478,15,49,Resource A
3,1479,6,45,Resource B
64,1480,13,28,Resource C
67,1481,7,35,Resource C
13,1482,6,1,Resource C
53,1483,11,21,Resource C
99,1484,15,18,Resource A
13,1485,2,2,Resource C
89,1486,7,39,Resource A
66,1487,18,28,Resource C
25,1488,17,15,Resource B
79,1489,13,38,Resource B
97,1490,18,10,Resource C
76,1491,1,13,Resource A
91,1492,2,26,Resource B
19,1493,4,35,Resource C
65,1494,15,45,Resource C
16,1495,8,10,Resource A
26,1496,15,27,Resource B
30,1497,19,28,Resource B
36,1498,17,42,Resource B
75,1499,13,24,Resource A
86,1500,1,43,Resource C
